Timestamp,Edad,Departamento en el que vives actualmente,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ASP.NET],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [CGI / Perl ],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [ColdFusion],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Java],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [PHP],Qué lenguaje servidor prefieres,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [AJAX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [CSS],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Flash/ActionScript],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Dreamweaver],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Eclipse (o derivados)],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Visual Studio],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Komodo],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [kompoZer],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [NetBeans],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor de textos],¿Cuál es tu ingreso mensual bruto en soles?,Grado de instrucción,Situación laboral,¿Qué frameworks de JavaScript conoces?,Sexo,¿Qué sistema operativo usas principalmente para desarrollo web?,¿A través de qué medios aprendes sobre desarrollo web?,¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Java (Applet)],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaFX],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [JavaScript],¿Qué experiencia tienes con los siguientes lenguajes de cliente? [HTML/XHTML],¿Qué experiencia tienes con los siguientes entornos de desarrollo (IDE)? [Editor simple de textos],"En tu trabajo actual, ¿tu función principal es desarrollo web?",¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Python],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de servidor? [Ruby],¿Qué experiencia tienes con los siguientes lenguajes o tecnologías de cliente? [Silverlight]
3/1/2011 8:58:27,31 - 40 años,Lambayeque,No conozco,No conozco,No conozco,No conozco,Más de 6 años,,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,1 año o menos,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, Prototype",Masculino,Windows,Documentación en la web,No conozco,No conozco,Más de 6 años,,1 año o menos,No,No conozco,No conozco,No conozco
3/1/2011 9:13:03,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,No conozco,1 año o menos,1 año o menos,1 a 3 años,No conozco,No conozco,,De 2501 a 3500,Escolar,Trabajo como dependiente e independiente,jQuery,Masculino,Linux,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,1 a 3 años,Menos de 1 año,No conozco
3/1/2011 9:44:10,31 - 40 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,1 año o menos,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, En la universidad o instituto, Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,1 a 3 años,No,No conozco,No conozco,No conozco
3/1/2011 9:56:11,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Más de 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"jQuery, MooTools",Masculino,Linux,Documentación en la web,Menos de 1 año,Menos de 1 año,4 a 6 años,,1 a 3 años,Sí,No conozco,No conozco,Menos de 1 año
3/1/2011 10:25:06,24 - 30 años,Cusco,1 a 3 años,No conozco,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,No conozco,1 año o menos,1 a 3 años,1 año o menos,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,Menos de 1 año,,4 a 6 años,Sí,No conozco,No conozco,No conozco
3/1/2011 10:25:34,24 - 30 años,Lima,1 a 3 años,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,No conozco,No conozco,4 a 6 años,,De 2501 a 3500,Maestría,Trabajo como dependiente,"dojo, jQuery, script.aculo.us",Masculino,Windows,"Documentación en la web, Cursos en línea",1 a 3 años,No conozco,1 a 3 años,,4 a 6 años,No,No conozco,No conozco,1 a 3 años
3/1/2011 10:42:22,24 - 30 años,La Libertad,Más de 6 años,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,,Más de 6 años,Más de 6 años,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,Más de 6 años,No conozco,No conozco,1 a 3 años,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, script.aculo.us, YUI",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",1 a 3 años,No conozco,4 a 6 años,,Más de 6 años,No,1 a 3 años,Menos de 1 año,1 a 3 años
3/1/2011 12:41:04,17 - 23 años,Junín,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,1 a 3 años,1 a 3 años,Menos de 1 año,1 a 3 años,1 a 3 años,4 a 6 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools",Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",Menos de 1 año,Menos de 1 año,1 a 3 años,,1 año o menos,Sí,No conozco,No conozco,No conozco
3/1/2011 13:20:18,17 - 23 años,Amazonas,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas",No conozco,No conozco,Menos de 1 año,,No conozco,No,No conozco,No conozco,No conozco
3/1/2011 15:59:39,17 - 23 años,Lambayeque,Menos de 1 año,No conozco,No conozco,1 a 3 años,Menos de 1 año,,No conozco,Menos de 1 año,Menos de 1 año,No conozco,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,No conozco,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,,Masculino,Windows,"Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos en línea",Menos de 1 año,No conozco,No conozco,,1 año o menos,Sí,No conozco,No conozco,No conozco
3/1/2011 18:34:02,31 - 40 años,Arequipa,No conozco,1 a 3 años,No conozco,Menos de 1 año,1 a 3 años,,1 a 3 años,4 a 6 años,1 a 3 años,Más de 6 años,No conozco,1 año o menos,No conozco,1 a 3 años,1 a 3 años,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como independiente,"jQuery, MooTools, Prototype, script.aculo.us, YUI",Masculino,Linux,"Seminarios web, Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,Más de 6 años,,Más de 6 años,Sí,1 a 3 años,Menos de 1 año,No conozco
3/1/2011 22:39:21,24 - 30 años,Amazonas,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,No conozco,1 a 3 años,1 año o menos,1 año o menos,4 a 6 años,1 a 3 años,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"dojo, jQuery, Prototype",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Menos de 1 año,,Más de 6 años,Sí,1 a 3 años,No conozco,No conozco
3/2/2011 0:18:29,17 - 23 años,Lima,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,,No conozco,No conozco,No conozco,No conozco,No conozco,1 año o menos,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,No conozco,,1 año o menos,Sí,No conozco,No conozco,No conozco
3/2/2011 0:40:47,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,Más de 6 años,1 a 3 años,Más de 6 años,4 a 6 años,1 a 3 años,1 año o menos,No conozco,No conozco,1 año o menos,,De 6501 a 7500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, YUI",Femenino,Mac,"Documentación en la web, Cursos en línea, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,No,Menos de 1 año,Menos de 1 año,No conozco
3/2/2011 12:21:35,24 - 30 años,Lima,Menos de 1 año,Menos de 1 año,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,Menos de 1 año,No conozco,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente,jQuery,Masculino,Linux,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), Cursos en línea",Menos de 1 año,No conozco,1 a 3 años,,Más de 6 años,No,No conozco,No conozco,No conozco
3/2/2011 15:43:39,24 - 30 años,Puno,No conozco,No conozco,No conozco,Menos de 1 año,1 a 3 años,,Menos de 1 año,1 a 3 años,Menos de 1 año,1 a 3 años,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI",Masculino,Linux,blogs,Menos de 1 año,No conozco,Menos de 1 año,,1 a 3 años,Sí,No conozco,No conozco,No conozco
3/2/2011 17:06:17,31 - 40 años,Lima,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,No conozco,No conozco,No conozco,No conozco,No conozco,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente,MooTools,Masculino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto",No conozco,No conozco,No conozco,,No conozco,No,Menos de 1 año,No conozco,No conozco
3/2/2011 17:47:34,17 - 23 años,Lima,1 a 3 años,No conozco,No conozco,4 a 6 años,Menos de 1 año,,1 a 3 años,4 a 6 años,1 a 3 años,1 a 3 años,1 a 3 años,4 a 6 años,4 a 6 años,No conozco,No conozco,1 año o menos,,De 2501 a 3500,Graduado de universidad,Trabajo como dependiente,"dojo, jQuery, jQuery UI, Prototype, script.aculo.us",Masculino,Otro,"Documentación en la web, En la universidad o instituto, Cursos en línea",1 a 3 años,Menos de 1 año,4 a 6 años,,1 año o menos,No,No conozco,Menos de 1 año,Menos de 1 año
3/2/2011 18:22:20,24 - 30 años,Arequipa,No conozco,No conozco,No conozco,Más de 6 años,4 a 6 años,,4 a 6 años,4 a 6 años,No conozco,Más de 6 años,Más de 6 años,4 a 6 años,1 a 3 años,No conozco,No conozco,Más de 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, Prototype, YUI, Raphael",Masculino,Windows,"Documentación en la web, En la universidad o instituto, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,4 a 6 años,,Más de 6 años,Sí,No conozco,No conozco,No conozco
3/2/2011 19:34:29,24 - 30 años,Lima,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,No conozco,No conozco,1 a 3 años,,Menos de 1500 soles,Graduado de instituto,Trabajo como dependiente,jQuery,Masculino,Windows,En la universidad o instituto,No conozco,No conozco,Menos de 1 año,,1 año o menos,No,Menos de 1 año,No conozco,Menos de 1 año
3/2/2011 21:18:47,24 - 30 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,Más de 6 años,,Más de 6 años,Más de 6 años,Menos de 1 año,Más de 6 años,Más de 6 años,1 año o menos,1 a 3 años,No conozco,1 año o menos,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como independiente,jQuery,Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",Menos de 1 año,Menos de 1 año,Más de 6 años,,Más de 6 años,Sí,No conozco,Menos de 1 año,No conozco
3/2/2011 21:33:38,24 - 30 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,4 a 6 años,4 a 6 años,1 a 3 años,Más de 6 años,1 año o menos,No conozco,1 a 3 años,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,"jQuery, jQuery UI, MooTools, Prototype",Masculino,Windows,"Documentación en la web, En grupos de amigos o compañeros de trabajo",No conozco,No conozco,Más de 6 años,,Más de 6 años,Sí,Menos de 1 año,No conozco,No conozco
3/2/2011 22:01:34,17 - 23 años,Arequipa,No conozco,No conozco,No conozco,1 a 3 años,Menos de 1 año,,No conozco,Menos de 1 año,No conozco,Menos de 1 año,1 año o menos,1 a 3 años,No conozco,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente,ninguno,Masculino,Windows,por mi propia cuenta (internet),No conozco,No conozco,Menos de 1 año,,1 año o menos,Sí,No conozco,No conozco,No conozco
3/2/2011 22:12:23,24 - 30 años,Lima,No conozco,No conozco,No conozco,1 a 3 años,4 a 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,Más de 6 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,No conozco,1 a 3 años,,De 1501 a 2500,Graduado de instituto,Trabajo como dependiente e independiente,"dojo, jQuery, jQuery UI, MooTools, Prototype, YUI",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores)",Menos de 1 año,Menos de 1 año,Más de 6 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
3/2/2011 23:07:25,24 - 30 años,Puno,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,,4 a 6 años,4 a 6 años,4 a 6 años,4 a 6 años,Más de 6 años,Más de 6 años,Más de 6 años,4 a 6 años,Más de 6 años,Más de 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, jQuery UI, MooTools",Masculino,Windows,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Cursos en línea",4 a 6 años,1 a 3 años,Más de 6 años,,Más de 6 años,No,4 a 6 años,4 a 6 años,4 a 6 años
3/2/2011 23:26:50,24 - 30 años,Amazonas,No conozco,Menos de 1 año,No conozco,No conozco,1 a 3 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 año o menos,No conozco,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,Graduado de universidad,Trabajo como dependiente e independiente,"jQuery, Prototype",Masculino,Windows,Documentación en la web,No conozco,No conozco,1 a 3 años,,1 año o menos,Sí,Menos de 1 año,No conozco,No conozco
3/2/2011 23:29:13,31 - 40 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 a 3 años,No conozco,No conozco,No conozco,No conozco,1 año o menos,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,Prototype,Masculino,Windows,Documentación en la web,Menos de 1 año,No conozco,4 a 6 años,,1 a 3 años,No,No conozco,No conozco,No conozco
3/3/2011 0:43:38,24 - 30 años,Puno,Menos de 1 año,No conozco,No conozco,Menos de 1 año,4 a 6 años,,1 a 3 años,1 a 3 años,No conozco,1 a 3 años,1 a 3 años,No conozco,1 año o menos,No conozco,No conozco,1 año o menos,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,jQuery,Femenino,Windows,"Seminarios web, Documentación en la web, En la universidad o instituto, Libros, revistas y otras publicaciones impresas, Cursos de educación continua (fuera de los planes de estudio superiores), En grupos de amigos o compañeros de trabajo",No conozco,No conozco,1 a 3 años,,4 a 6 años,Sí,No conozco,No conozco,No conozco
3/3/2011 16:21:59,17 - 23 años,Puno,Menos de 1 año,No conozco,No conozco,1 a 3 años,1 a 3 años,,Menos de 1 año,1 a 3 años,1 a 3 años,Menos de 1 año,4 a 6 años,1 año o menos,1 año o menos,No conozco,No conozco,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Windows,"Documentación en la web, Cursos en línea",No conozco,No conozco,1 a 3 años,,4 a 6 años,Sí,Menos de 1 año,No conozco,No conozco
3/3/2011 17:39:43,24 - 30 años,Pasco,No conozco,Menos de 1 año,Menos de 1 año,1 a 3 años,Más de 6 años,,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,4 a 6 años,,De 1501 a 2500,En universidad o instituto,Trabajo como dependiente,jQuery,Masculino,Linux,Documentación en la web,1 a 3 años,1 a 3 años,Más de 6 años,,Más de 6 años,No,Más de 6 años,1 a 3 años,1 a 3 años
3/3/2011 19:40:28,31 - 40 años,Lima,,,,,,,,,,,,,,,,,,De 5501 a 6500,En universidad o instituto,Trabajo como dependiente e independiente,,Masculino,,,,,,,,Sí
3/3/2011 20:19:51,17 - 23 años,Puno,No conozco,No conozco,Menos de 1 año,4 a 6 años,4 a 6 años,,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 a 3 años,1 año o menos,1 año o menos,1 a 3 años,1 año o menos,1 año o menos,,Menos de 1500 soles,En universidad o instituto,No trabajo,MooTools,Masculino,Linux,En la universidad o instituto,1 a 3 años,1 a 3 años,1 a 3 años,,1 año o menos,No,Menos de 1 año,Menos de 1 año,Menos de 1 año
3/3/2011 23:52:49,24 - 30 años,Lima,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,,1 a 3 años,4 a 6 años,No conozco,4 a 6 años,1 año o menos,1 a 3 años,1 año o menos,No conozco,1 año o menos,4 a 6 años,,De 1501 a 2500,Graduado de universidad,Trabajo como dependiente,"jQuery, jQuery UI",Masculino,Windows,Documentación en la web,No conozco,No conozco,4 a 6 años,,1 a 3 años,Sí,No conozco,No conozco,No conozco
3/4/2011 2:23:26,31 - 40 años,Lima,4 a 6 años,Menos de 1 año,No conozco,Menos de 1 año,Más de 6 años,,1 a 3 años,1 a 3 años,1 a 3 años,Más de 6 años,Más de 6 años,No conozco,4 a 6 años,No conozco,No conozco,1 año o menos,,De 1501 a 2500,En universidad o instituto,Trabajo como independiente,jQuery,Masculino,Windows,"Seminarios web, Documentación en la web, En grupos de amigos o compañeros de trabajo",Menos de 1 año,No conozco,4 a 6 años,,Más de 6 años,No,No conozco,No conozco,No conozco
3/4/2011 16:21:42,24 - 30 años,Puno,Menos de 1 año,Menos de 1 año,Menos de 1 año,1 a 3 años,4 a 6 años,,4 a 6 años,Más de 6 años,Más de 6 años,Más de 6 años,Más de 6 años,1 a 3 años,Más de 6 años,Más de 6 años,Más de 6 años,4 a 6 años,,Menos de 1500 soles,En universidad o instituto,Trabajo como dependiente e independiente,"jQuery, jQuery UI",Masculino,Windows,"Seminarios web, Documentación en la web",Más de 6 años,1 a 3 años,Más de 6 años,,Más de 6 años,Sí,1 a 3 años,1 a 3 años,1 a 3 años
