¿En qué región vives actualmente?,¿Qué edad tienes?,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual como desarrollador web? ,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",Tu función principal en el desarrollo web es:,¿Qué sistema operativo usas principalmente como entorno de desarrollo?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Qué editor utilizas regularmente?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Cuantos años de experiencia tienes con...? [Rust],¿Cuantos años de experiencia tienes con...? [Lisp],¿Cuantos años de experiencia tienes con...? [Scala],¿Cuantos años de experiencia tienes con...? [Swift],¿Cuantos años de experiencia tienes con...? [Kotlin],¿Cuantos años de experiencia tienes con...? [JavaScript],¿Cuantos años de experiencia tienes con...? [TypeScript],¿Cuantos años de experiencia tienes con...? [Flow],¿Qué frameworks backend cononces?,¿Qué frameworks backend utilizas?,¿Qué frameworks de JavaScript conoces?,¿Qué frameworks de JavaScript utilizas?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?,¿Sueles utilizar test en tus proyectos?,¿Contribuyes con algún proyecto open source o software libre?,¿Haz asistido a algún evento o meetup local?,Indica el nombre de la comunidad o del meetup al que asististe,En los últimos 12 meses ¿Has asistido ha alguna conferencia internacional fuera del Perú?
La Libertad,17 - 23 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources","Visual Studio Code, Sublime, Notepad++",Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,"Django (Python), Flask (Python), Express (Node.js)",,"jQuery, AngularJS, React, D3.js, Vue.js, Kendo","jQuery, Kendo",,WebPack,"Microsoft SQL Server, Oracle Database",MongoDB,Microsoft Azure,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,41 - 50 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Es igual,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",BRACKETS,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,"Symfony (PHP), Express (Node.js)",Laravel (PHP),"jQuery, jQuery UI, AngularJS, React, Ember.js","jQuery, jQuery UI, AngularJS, Backbone.js, React","SASS, LESS, PostCSS",WebPack,"MySQL, PostgreSQL",MongoDB,Google Cloud Platform,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Comunidades locales de desarrollo, Seminarios Web / Webinars","Android, iOS",Ionic Framework,No,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Lima Frontend,No
Moquegua,31 - 40 años,Hombre,Estudiantes de instituto,De 6 a 10 años,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Editor de sombreadores",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Spring Boot (Java), Sinatra (Ruby), Webpy (Python), Express (Node.js)","Laravel (PHP), Express (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, Dojo, Vue.js, Sencha","jQuery, AngularJS","SASS, LESS, Stylus","Grunt, Gulp","MySQL, Microsoft SQL Server","MongoDB, Redis","Amazon Web Services, Google Cloud Platform",Documentación en la web,"Android, Webapps móviles (híbridas para cualquier plataforma)","Ionic Framework, Phonegap, Flutter",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",,No
Lima,41 - 50 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Ha aumentado,Fullstack,GNU/Linux,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Accesibilidad","Atom, Vim",No conozco,No conozco,Menos de 1 año,Más de 6 años,Más de 6 años,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,No conozco,"CodeIgniter (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Sinatra (Ruby), Express (Node.js), Hapi (Node.js)","Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, Backbone.js, React, D3.js","React, D3.js","SASS, LESS, Stylus, Pug, PostCSS","Grunt, Gulp, WebPack","MySQL, PostgreSQL","MongoDB, Redis, CouchDB","Amazon Web Services, Google Cloud Platform, Heroku, Zeit","Documentación en la web, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, Apache Cordova, Phonegap, React Native, Progressive Web Apps",Sí,"Sí, regularmente (al menos una vez al mes)","Sí, al menos una vez al mes","LimaJS, Mozilla Perú",Sí
Lima,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 2501 a 3500 soles,Ha disminuido,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance","Visual Studio Code, Notepad++",De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Zend Framework, Symfony (PHP), Spring Boot (Java)",Cualquiera qué decida el equipo.,"jQuery, jQuery UI","jQuery, jQuery UI","SASS, LESS, Pug",Cualquiera qué decida el equipo,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",Cualquiera qué decida el equipo,"Amazon Web Services, Microsoft Azure","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo, Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma)","Phonegap, Cualquiera qué decida el equipo",A veces,"Sí, de vez en cuando (varias veces al año)","Sí, al menos una vez al mes","WordPress Perú, Microsoft BI",No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger",PhpStorm,Menos de 1 año,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Ruby on Rails",Laravel (PHP),"jQuery, Vue.js","jQuery, Vue.js",SASS,WebPack,"MySQL, PostgreSQL",,"Amazon Web Services, Heroku","Documentación en la web, Cursos en línea de plataformas de pago, Cursos de educación continua (fuera de planes de estudio superior)",Android,,No,"No, pero me gustaria hacerlo","Sí, al menos una vez al mes",Meetup de PHP en Lima,No
Lima,31 - 40 años,Hombre,Doctorado,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode","Visual Studio Code, IntelliJ",No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,Django (Python),Django (Python),"jQuery, Vue.js",Vue.js,,,PostgreSQL,Redis,"Amazon Web Services, Google Cloud Platform, Microsoft Azure, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android,,Sí,He hecho alguna contribución alguna vez,"Sí, de vez en cuando",python peru,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources","Sublime, RubyMine",Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,Ruby on Rails,Ruby on Rails,"jQuery, Vue.js",jQuery,"SASS, CoffeeScript",,"MySQL, PostgreSQL",Redis,"Amazon Web Services, Heroku","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas","Android, iOS",,No,"No, y no me gustaría hacerlo","Sí, de vez en cuando",Ruby Peru,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,Microsoft Windows,Inspector / Elements / DOM Explorer,Sublime,Menos de 1 año,No conozco,No conozco,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP)","Laravel (PHP), CodeIgniter (PHP)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Dojo, Vue.js","jQuery, jQuery UI",,,MySQL,,"Amazon Web Services, Una nube privada (implementación a medida)","Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",,,No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,24 - 30 años,Mujer,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 5501 a más,Ha aumentado,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage",Visual Studio Code,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Zend Framework, Symfony (PHP), Express (Node.js)",Ruby on Rails,"jQuery, jQuery UI, React",React,"SASS, LESS, Stylus, Pug, CoffeeScript, PostCSS","Grunt, Gulp, WebPack","MySQL, PostgreSQL",MongoDB,"Amazon Web Services, Heroku, Zeit","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Comunidades locales de desarrollo",,,A veces,He hecho alguna contribución alguna vez,"Sí, de vez en cuando","Tech Talks, LimaJS, Mozilla Perú, Frontend Perú, Angular Lima, Docker Lima",No
La Libertad,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,Sí,Menos de 1500 soles,Es igual,Backend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance",Visual Studio Code,No conozco,No conozco,De 1 a 3 años,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Django (Python), Ruby on Rails, Symfony (PHP), Webpy (Python)",Laravel (PHP),"jQuery, jQuery UI, React, Vue.js","jQuery, jQuery UI, Vue.js",,WebPack,MySQL,,"Amazon Web Services, Una nube privada (implementación a medida), Google Cloud Platform","Documentación en la web, Cursos en línea de plataformas de pago, Videos de Youtube","Android, Webapps móviles (híbridas para cualquier plataforma), iOS",,A veces,"No, y no me gustaría hacerlo","No, y no estoy interesado en asistir",,No
Lima,41 - 50 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,No,,No,De 5501 a más,Es igual,Backend,GNU/Linux,"Depurador de JavaScript / Debugger, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage","Notepad++, Eclipse, NetBeans",Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,Spring Boot (Java),Spring Boot (Java),AngularJS,AngularJS,SASS,WebPack,"MySQL, Microsoft SQL Server, Oracle Database",,Google Cloud Platform,"Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups",Android,,A veces,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,17 - 23 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Frontend,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory, Accesibilidad","Visual Studio Code, Sublime, Notepad++, Vim, WebStorm",Menos de 1 año,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,No conozco,"Laravel (PHP), Express (Node.js), Hapi (Node.js)","Laravel (PHP), Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, AngularJS, React, Vue.js","SASS, LESS, Stylus, Pug","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, Oracle Database",MongoDB,"Amazon Web Services, Google Cloud Platform, Microsoft Azure, Heroku, Zeit","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, En la universidad o instituto, Comunidades locales de desarrollo, Cursos de educación continua (fuera de planes de estudio superior), Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, Apache Cordova, Phonegap, React Native, NativeScript, Progressive Web Apps",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",LimaJS,No
Arequipa,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha disminuido,Frontend,GNU/Linux,Inspector / Elements / DOM Explorer,"Visual Studio Code, Sublime",No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,No conozco,No conozco,Laravel (PHP),Laravel (PHP),Vue.js,,,,MySQL,,Amazon Web Services,"Documentación en la web, Cursos en línea de plataformas de pago",Android,,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Lima js,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,No,De 5501 a más,Ha aumentado,Backend,GNU/Linux,"Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,Menos de 1 año,No conozco,"Django (Python), Express (Node.js)",Express (Node.js),"jQuery, jQuery UI, React, Vue.js",React,SASS,WebPack,PostgreSQL,MongoDB,"Amazon Web Services, Heroku, Digital Ocean","Documentación en la web, En la universidad o instituto, Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),Progressive Web Apps,Sí,"Sí, de vez en cuando (varias veces al año)","Sí, de vez en cuando",Lima NodeJs,No
Lima,31 - 40 años,Hombre,Graduado de instituto,Mayor a 10 años,Trabajo como dependiente e independiente,No,Sí,,,Sí,De 5501 a más,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Accesibilidad",Visual Studio Code,De 1 a 3 años,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), Express (Node.js), Hapi (Node.js)","Laravel (PHP), Express (Node.js), Hapi (Node.js), Nextjs ","jQuery, jQuery UI, React, Vue.js","React, Vue.js","SASS, PostCSS","Grunt, Gulp, WebPack","MySQL, Microsoft SQL Server, PostgreSQL","Apache Cassandra, CouchDB","Amazon Web Services, Microsoft Azure, Heroku, Zeit","Documentación en la web, Cursos en línea de plataformas de pago, En grupos de amigos o compañeros de trabajos / Meetups, Libros, revistas y otras publicaciones impresas, Comunidades locales de desarrollo",Webapps móviles (híbridas para cualquier plataforma),"React Native, Progressive Web Apps",Sí,He hecho alguna contribución alguna vez,"Sí, de vez en cuando",Vuejs Lima,No
Lima,41 - 50 años,Hombre,Graduado de universidad,Mayor a 10 años,Trabajo como dependiente,,,Sí,,No,De 5501 a más,Es igual,Fullstack,Mac,"Consola, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance","Visual Studio Code, Notepad++, IntelliJ",Más de 6 años,No conozco,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,No conozco,Spring Boot (Java),Spring Boot (Java),"jQuery, jQuery UI, AngularJS",AngularJS,LESS,WebPack,"MySQL, Microsoft SQL Server, Oracle Database",,Una nube privada (implementación a medida),"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago, Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars",,,A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Agiles Peru,No
Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,Sí,,Sí,De 1501 a 2500 soles,Ha aumentado,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode",Visual Studio Code,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,No conozco,No conozco,"Laravel (PHP), Django (Python), Symfony (PHP)",Laravel (PHP),"jQuery, jQuery UI, AngularJS, React, Vue.js","jQuery, jQuery UI, React",SASS,,MySQL,MongoDB,Heroku,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",,,Sí,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Gabriel Martinez,No
Junín,41 - 50 años,Hombre,Graduado de universidad,Mayor a 10 años,No trabajo actualmente,,,,,,,Ha disminuido,Fullstack,Microsoft Windows,Depurador de JavaScript / Debugger,Visual Studio Code,Más de 6 años,No conozco,Más de 6 años,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 1 a 3 años,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Symfony (PHP)",Laravel (PHP),"jQuery, jQuery UI, AngularJS","jQuery, jQuery UI",,,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",,Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)","Android, Webapps móviles (híbridas para cualquier plataforma)",,No,"No, pero me gustaria hacerlo","Sí, de vez en cuando",Wordpress,No
Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como independiente,,,,Sí,No,De 5501 a más,Es igual,Frontend,GNU/Linux,"Inspector / Elements / DOM Explorer, Depurador de JavaScript / Debugger, Editor de estilos / Sources / Resources, Audio web","Visual Studio Code, Sublime",Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,Menos de 1 año,No conozco,"Django (Python), Flask (Python), Express (Node.js)","Django (Python), Flask (Python)","jQuery, jQuery UI, React, Angular",React,SASS,"Gulp, WebPack","MySQL, PostgreSQL",MongoDB,,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), libros",Webapps móviles (híbridas para cualquier plataforma),Ionic Framework,A veces,"Trabajo full-time haciendo open source, y recibo un pago por ello","No, pero me gustaría",,Sí
Lima,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 3501 a 4500 soles,Es igual,Fullstack,Microsoft Windows,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources",Visual Studio Code,No conozco,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP),Laravel (PHP),"jQuery, jQuery UI, React",jQuery,,WebPack,MySQL,,Digital ocean,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),"Apache Cordova, React Native",No,"No, y no me gustaría hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Es igual,Fullstack,Microsoft Windows,Consola,Visual Studio Code,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,No conozco,No conozco,"Laravel (PHP), CodeIgniter (PHP), Symfony (PHP)",Laravel (PHP),"jQuery, jQuery UI, AngularJS, Backbone.js, React, Vue.js","jQuery, jQuery UI, Vue.js",Ninguno,Ninguno,"MySQL, PostgreSQL","MongoDB, Redis, Apache Cassandra, CouchDB",Amazon Web Services,Documentación en la web,Ninguno,,No,"No, y no me gustaría hacerlo","No, pero me gustaría",,No
Arequipa,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,No trabajo actualmente,,,,,,,Es igual,Frontend,Microsoft Windows,Inspector / Elements / DOM Explorer,"Visual Studio Code, Sublime",No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,"Laravel (PHP), Spring Boot (Java), Express (Node.js)",Express (Node.js),"jQuery, AngularJS, React, Vue.js, Sencha",React,,WebPack,"MySQL, Microsoft SQL Server, PostgreSQL, Oracle Database",MongoDB,Amazon Web Services,"Documentación en la web, Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars","Android, Webapps móviles (híbridas para cualquier plataforma)","Apache Cordova, Phonegap, Unity",No,"No, pero me gustaria hacerlo","No, pero me gustaría",,No
Lima,31 - 40 años,Hombre,Estudiante de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 5501 a más,Es igual,Fullstack,Mac,"Inspector / Elements / DOM Explorer, Consola, Depurador de JavaScript / Debugger, Modo de diseño responsivo / Device mode / Emulation / Responsive design mode, Editor de estilos / Sources / Resources, Rendimiento / Timeline / Performance, Inspector de almacenamiento / Resources / Storage, Inspector de memoria / Profiles / Memory",Visual Studio Code,Menos de 1 año,No conozco,No conozco,De 1 a 3 años,De 1 a 3 años,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,No conozco,Más de 6 años,De 1 a 3 años,Menos de 1 año,"Laravel (PHP), CodeIgniter (PHP), Express (Node.js), Hapi (Node.js)","Laravel (PHP), Express (Node.js), Hapi (Node.js)","jQuery, jQuery UI, AngularJS, Backbone.js, React, Ember.js, D3.js, Vue.js","React, Vue.js","SASS, LESS, Stylus, Pug, PostCSS","Gulp, WebPack","MySQL, PostgreSQL","MongoDB, Redis, Apache Cassandra, CouchDB",Amazon Web Services,"Documentación en la web, Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones), Libros, revistas y otras publicaciones impresas, Seminarios Web / Webinars",Webapps móviles (híbridas para cualquier plataforma),"Ionic Framework, React Native, NativeScript, Progressive Web Apps, Quasar Framework (Vue)",A veces,"No, pero me gustaria hacerlo","Sí, de vez en cuando","frontend.pe, aws",No
